ten_mon,nhom,mo_ta,vung_mien,thanh_phan_chinh,cac_buoc_nau,cach_an,calo_uoc_tinh,image_folder,image_path
Bò nướng lá lốt,Biến tấu (Các món mặn khác),"Món ăn đường phố hấp dẫn với thịt bò băm nhuyễn cuộn trong lá lốt nướng trên than hồng, tỏa mùi thơm nồng nàn đặc trưng.",Miền Nam.,"Thịt bò băm, mỡ heo băm, Lá lốt tươi, Hành tím, sả băm, tiêu đen, Đậu phộng rang, mỡ hành","Bước 1: Trộn thịt bò với mỡ heo, sả, hành băm và gia vị cho thấm., Bước 2: Đặt lá lốt lên mặt phẳng, cho lượng thịt vừa đủ vào và cuốn tròn lại., Bước 3: Xếp các cuốn bò vào vỉ nướng, nướng trên than hồng, phết thêm chút dầu ăn để lá không bị cháy khô., Bước 4: Nướng đến khi lá lốt hơi cháy sém và tỏa mùi thơm nức là chín.","Ăn nóng, cuốn cùng bánh tráng, bún tươi, rau sống, chuối chát, khế chua và chấm mắm nêm.",Cao,bo_nuong_la_lot,images/bo_nuong_la_lot/image_10.jpg
Bò nướng lá lốt,Biến tấu (Các món mặn khác),"Món ăn đường phố hấp dẫn với thịt bò băm nhuyễn cuộn trong lá lốt nướng trên than hồng, tỏa mùi thơm nồng nàn đặc trưng.",Miền Nam.,"Thịt bò băm, mỡ heo băm, Lá lốt tươi, Hành tím, sả băm, tiêu đen, Đậu phộng rang, mỡ hành","Bước 1: Trộn thịt bò với mỡ heo, sả, hành băm và gia vị cho thấm., Bước 2: Đặt lá lốt lên mặt phẳng, cho lượng thịt vừa đủ vào và cuốn tròn lại., Bước 3: Xếp các cuốn bò vào vỉ nướng, nướng trên than hồng, phết thêm chút dầu ăn để lá không bị cháy khô., Bước 4: Nướng đến khi lá lốt hơi cháy sém và tỏa mùi thơm nức là chín.","Ăn nóng, cuốn cùng bánh tráng, bún tươi, rau sống, chuối chát, khế chua và chấm mắm nêm.",Cao,bo_nuong_la_lot,images/bo_nuong_la_lot/image_11.jpg
Bò nướng lá lốt,Biến tấu (Các món mặn khác),"Món ăn đường phố hấp dẫn với thịt bò băm nhuyễn cuộn trong lá lốt nướng trên than hồng, tỏa mùi thơm nồng nàn đặc trưng.",Miền Nam.,"Thịt bò băm, mỡ heo băm, Lá lốt tươi, Hành tím, sả băm, tiêu đen, Đậu phộng rang, mỡ hành","Bước 1: Trộn thịt bò với mỡ heo, sả, hành băm và gia vị cho thấm., Bước 2: Đặt lá lốt lên mặt phẳng, cho lượng thịt vừa đủ vào và cuốn tròn lại., Bước 3: Xếp các cuốn bò vào vỉ nướng, nướng trên than hồng, phết thêm chút dầu ăn để lá không bị cháy khô., Bước 4: Nướng đến khi lá lốt hơi cháy sém và tỏa mùi thơm nức là chín.","Ăn nóng, cuốn cùng bánh tráng, bún tươi, rau sống, chuối chát, khế chua và chấm mắm nêm.",Cao,bo_nuong_la_lot,images/bo_nuong_la_lot/image_13.jpg
Bò nướng lá lốt,Biến tấu (Các món mặn khác),"Món ăn đường phố hấp dẫn với thịt bò băm nhuyễn cuộn trong lá lốt nướng trên than hồng, tỏa mùi thơm nồng nàn đặc trưng.",Miền Nam.,"Thịt bò băm, mỡ heo băm, Lá lốt tươi, Hành tím, sả băm, tiêu đen, Đậu phộng rang, mỡ hành","Bước 1: Trộn thịt bò với mỡ heo, sả, hành băm và gia vị cho thấm., Bước 2: Đặt lá lốt lên mặt phẳng, cho lượng thịt vừa đủ vào và cuốn tròn lại., Bước 3: Xếp các cuốn bò vào vỉ nướng, nướng trên than hồng, phết thêm chút dầu ăn để lá không bị cháy khô., Bước 4: Nướng đến khi lá lốt hơi cháy sém và tỏa mùi thơm nức là chín.","Ăn nóng, cuốn cùng bánh tráng, bún tươi, rau sống, chuối chát, khế chua và chấm mắm nêm.",Cao,bo_nuong_la_lot,images/bo_nuong_la_lot/image_15.jpg
Bò nướng lá lốt,Biến tấu (Các món mặn khác),"Món ăn đường phố hấp dẫn với thịt bò băm nhuyễn cuộn trong lá lốt nướng trên than hồng, tỏa mùi thơm nồng nàn đặc trưng.",Miền Nam.,"Thịt bò băm, mỡ heo băm, Lá lốt tươi, Hành tím, sả băm, tiêu đen, Đậu phộng rang, mỡ hành","Bước 1: Trộn thịt bò với mỡ heo, sả, hành băm và gia vị cho thấm., Bước 2: Đặt lá lốt lên mặt phẳng, cho lượng thịt vừa đủ vào và cuốn tròn lại., Bước 3: Xếp các cuốn bò vào vỉ nướng, nướng trên than hồng, phết thêm chút dầu ăn để lá không bị cháy khô., Bước 4: Nướng đến khi lá lốt hơi cháy sém và tỏa mùi thơm nức là chín.","Ăn nóng, cuốn cùng bánh tráng, bún tươi, rau sống, chuối chát, khế chua và chấm mắm nêm.",Cao,bo_nuong_la_lot,images/bo_nuong_la_lot/image_16.jpg
Bò nướng lá lốt,Biến tấu (Các món mặn khác),"Món ăn đường phố hấp dẫn với thịt bò băm nhuyễn cuộn trong lá lốt nướng trên than hồng, tỏa mùi thơm nồng nàn đặc trưng.",Miền Nam.,"Thịt bò băm, mỡ heo băm, Lá lốt tươi, Hành tím, sả băm, tiêu đen, Đậu phộng rang, mỡ hành","Bước 1: Trộn thịt bò với mỡ heo, sả, hành băm và gia vị cho thấm., Bước 2: Đặt lá lốt lên mặt phẳng, cho lượng thịt vừa đủ vào và cuốn tròn lại., Bước 3: Xếp các cuốn bò vào vỉ nướng, nướng trên than hồng, phết thêm chút dầu ăn để lá không bị cháy khô., Bước 4: Nướng đến khi lá lốt hơi cháy sém và tỏa mùi thơm nức là chín.","Ăn nóng, cuốn cùng bánh tráng, bún tươi, rau sống, chuối chát, khế chua và chấm mắm nêm.",Cao,bo_nuong_la_lot,images/bo_nuong_la_lot/image_17.jpg
Bò nướng lá lốt,Biến tấu (Các món mặn khác),"Món ăn đường phố hấp dẫn với thịt bò băm nhuyễn cuộn trong lá lốt nướng trên than hồng, tỏa mùi thơm nồng nàn đặc trưng.",Miền Nam.,"Thịt bò băm, mỡ heo băm, Lá lốt tươi, Hành tím, sả băm, tiêu đen, Đậu phộng rang, mỡ hành","Bước 1: Trộn thịt bò với mỡ heo, sả, hành băm và gia vị cho thấm., Bước 2: Đặt lá lốt lên mặt phẳng, cho lượng thịt vừa đủ vào và cuốn tròn lại., Bước 3: Xếp các cuốn bò vào vỉ nướng, nướng trên than hồng, phết thêm chút dầu ăn để lá không bị cháy khô., Bước 4: Nướng đến khi lá lốt hơi cháy sém và tỏa mùi thơm nức là chín.","Ăn nóng, cuốn cùng bánh tráng, bún tươi, rau sống, chuối chát, khế chua và chấm mắm nêm.",Cao,bo_nuong_la_lot,images/bo_nuong_la_lot/image_18.jpg
Bò nướng lá lốt,Biến tấu (Các món mặn khác),"Món ăn đường phố hấp dẫn với thịt bò băm nhuyễn cuộn trong lá lốt nướng trên than hồng, tỏa mùi thơm nồng nàn đặc trưng.",Miền Nam.,"Thịt bò băm, mỡ heo băm, Lá lốt tươi, Hành tím, sả băm, tiêu đen, Đậu phộng rang, mỡ hành","Bước 1: Trộn thịt bò với mỡ heo, sả, hành băm và gia vị cho thấm., Bước 2: Đặt lá lốt lên mặt phẳng, cho lượng thịt vừa đủ vào và cuốn tròn lại., Bước 3: Xếp các cuốn bò vào vỉ nướng, nướng trên than hồng, phết thêm chút dầu ăn để lá không bị cháy khô., Bước 4: Nướng đến khi lá lốt hơi cháy sém và tỏa mùi thơm nức là chín.","Ăn nóng, cuốn cùng bánh tráng, bún tươi, rau sống, chuối chát, khế chua và chấm mắm nêm.",Cao,bo_nuong_la_lot,images/bo_nuong_la_lot/image_19.jpg
Bò nướng lá lốt,Biến tấu (Các món mặn khác),"Món ăn đường phố hấp dẫn với thịt bò băm nhuyễn cuộn trong lá lốt nướng trên than hồng, tỏa mùi thơm nồng nàn đặc trưng.",Miền Nam.,"Thịt bò băm, mỡ heo băm, Lá lốt tươi, Hành tím, sả băm, tiêu đen, Đậu phộng rang, mỡ hành","Bước 1: Trộn thịt bò với mỡ heo, sả, hành băm và gia vị cho thấm., Bước 2: Đặt lá lốt lên mặt phẳng, cho lượng thịt vừa đủ vào và cuốn tròn lại., Bước 3: Xếp các cuốn bò vào vỉ nướng, nướng trên than hồng, phết thêm chút dầu ăn để lá không bị cháy khô., Bước 4: Nướng đến khi lá lốt hơi cháy sém và tỏa mùi thơm nức là chín.","Ăn nóng, cuốn cùng bánh tráng, bún tươi, rau sống, chuối chát, khế chua và chấm mắm nêm.",Cao,bo_nuong_la_lot,images/bo_nuong_la_lot/image_2.jpg
Bò nướng lá lốt,Biến tấu (Các món mặn khác),"Món ăn đường phố hấp dẫn với thịt bò băm nhuyễn cuộn trong lá lốt nướng trên than hồng, tỏa mùi thơm nồng nàn đặc trưng.",Miền Nam.,"Thịt bò băm, mỡ heo băm, Lá lốt tươi, Hành tím, sả băm, tiêu đen, Đậu phộng rang, mỡ hành","Bước 1: Trộn thịt bò với mỡ heo, sả, hành băm và gia vị cho thấm., Bước 2: Đặt lá lốt lên mặt phẳng, cho lượng thịt vừa đủ vào và cuốn tròn lại., Bước 3: Xếp các cuốn bò vào vỉ nướng, nướng trên than hồng, phết thêm chút dầu ăn để lá không bị cháy khô., Bước 4: Nướng đến khi lá lốt hơi cháy sém và tỏa mùi thơm nức là chín.","Ăn nóng, cuốn cùng bánh tráng, bún tươi, rau sống, chuối chát, khế chua và chấm mắm nêm.",Cao,bo_nuong_la_lot,images/bo_nuong_la_lot/image_20.jpg
