Image_Path,Food_Name,Question_Group,Question,Answer
images/banh_canh/image_18.jpg,Bánh canh,Màu sắc,Màu của thịt là gì?,Hồng
images/banh_canh/image_18.jpg,Bánh canh,Màu sắc,Màu của hành là gì?,Xanh
images/banh_canh/image_18.jpg,Bánh canh,Số lượng/Hình dáng,Số bát bánh canh là bao nhiêu?,Bốn
images/banh_canh/image_18.jpg,Bánh canh,Vị trí / Hành động,Vị trí của ớt đỏ?,Phía trên
images/banh_canh/image_19.jpg,Bánh canh,Màu sắc,Màu của chân giò là gì?,Hồng nhạt
images/banh_canh/image_19.jpg,Bánh canh,Màu sắc,Màu của cà rốt là gì?,Cam
images/banh_canh/image_19.jpg,Bánh canh,Màu sắc,Màu của ngò rí là gì?,Xanh
images/banh_canh/image_19.jpg,Bánh canh,Hình dáng,Hình dáng của chân giò là gì?,Tròn
images/banh_canh/image_19.jpg,Bánh canh,Vị trí / Hành động,Ngò rí và tiêu đen ở vị trí nào?,Trên
images/banh_canh/image_2.jpg,Bánh canh,Màu sắc,Màu của thịt là gì?,nâu
images/banh_canh/image_2.jpg,Bánh canh,Màu sắc,Màu của ớt là gì?,cam
images/banh_canh/image_2.jpg,Bánh canh,Màu sắc,Màu của hành là gì?,xanh
images/banh_canh/image_2.jpg,Bánh canh,Màu sắc,Màu của tương là gì?,đỏ
images/banh_canh/image_2.jpg,Bánh canh,Màu sắc,Màu của chanh là gì?,xanh
images/banh_canh/image_2.jpg,Bánh canh,Số lượng/Hình dáng,Hình dạng của tô là gì?,tròn
images/banh_canh/image_2.jpg,Bánh canh,Vị trí / Hành động,Vị trí của chén tương so với tô?,cạnh
images/banh_canh/image_2.jpg,Bánh canh,Vị trí / Hành động,Vị trí của dĩa chanh so với tô?,cạnh
images/banh_canh/image_21.jpg,Bánh canh,Màu sắc,Màu của bánh canh là gì?,Trắng
images/banh_canh/image_21.jpg,Bánh canh,Màu sắc,Màu của chanh là gì?,Xanh
images/banh_canh/image_21.jpg,Bánh canh,Màu sắc,Màu của mắm ớt là gì?,Đỏ
images/banh_canh/image_21.jpg,Bánh canh,Màu sắc,Màu của chả là gì?,Nâu
images/banh_canh/image_21.jpg,Bánh canh,Màu sắc,Màu của nền bàn là gì?,Hồng
images/banh_canh/image_21.jpg,Bánh canh,Vị trí / Hành động,Vị trí của chả nâu là đâu?,Bên phải
images/banh_canh/image_21.jpg,Bánh canh,Vị trí / Hành động,Vị trí của đĩa chanh là đâu?,Bên trái
images/banh_canh/image_21.jpg,Bánh canh,Vị trí / Hành động,Vị trí của bát mắm ớt là đâu?,Phía trên
images/banh_canh/image_22.jpg,Bánh canh,Màu sắc,Màu nước dùng là gì?,Vàng
images/banh_canh/image_22.jpg,Bánh canh,Màu sắc,Màu hành là gì?,Xanh
images/banh_canh/image_22.jpg,Bánh canh,Hình dáng,Hình dạng sợi bánh?,Tròn
images/banh_canh/image_22.jpg,Bánh canh,Vị trí / Hành động,Đũa đang làm gì?,Gắp
images/banh_canh/image_22.jpg,Bánh canh,Vị trí,Vị trí miếng cá?,Phía trên
images/banh_canh/image_23.jpg,Bánh canh,Màu sắc,Màu bánh canh là gì?,Trắng đục
images/banh_canh/image_23.jpg,Bánh canh,Màu sắc,Màu móng giò là gì?,Hồng nhạt
images/banh_canh/image_23.jpg,Bánh canh,Màu sắc,Màu hành ngò là gì?,Xanh
images/banh_canh/image_23.jpg,Bánh canh,Vị trí / Hành động,Móng giò đặt ở đâu?,Giữa tô
images/banh_canh/image_23.jpg,Bánh canh,Vị trí / Hành động,Hành ngò ở đâu?,Phía trên
images/banh_canh/image_24.jpg,Bánh canh,Màu sắc,Màu của hành ngò là gì?,Xanh
images/banh_canh/image_24.jpg,Bánh canh,Màu sắc,Màu của ớt là gì?,Đỏ
images/banh_canh/image_24.jpg,Bánh canh,Màu sắc,Màu của tôm là gì?,Cam
images/banh_canh/image_24.jpg,Bánh canh,Số lượng/Hình dáng,Hình dạng của tô là gì?,Tròn
images/banh_canh/image_24.jpg,Bánh canh,Vị trí / Hành động,Vị trí của thịt là gì?,Bên trái
images/banh_canh/image_24.jpg,Bánh canh,Vị trí / Hành động,Vị trí của tôm là gì?,Bên phải
images/banh_canh/image_24.jpg,Bánh canh,Vị trí / Hành động,Vị trí của chả cá là gì?,Giữa
images/banh_canh/image_25.jpg,Bánh canh,Màu sắc,Màu nước dùng là gì?,Đỏ cam
images/banh_canh/image_25.jpg,Bánh canh,Màu sắc,Màu bánh là gì?,Trắng
images/banh_canh/image_25.jpg,Bánh canh,Vị trí / Hành động,Hành lá và rau mùi ở đâu?,Phía trên
images/banh_canh/image_26.jpg,Bánh canh,Màu sắc,Màu nước dùng là gì?,Vàng nhạt
images/banh_canh/image_26.jpg,Bánh canh,Màu sắc,Màu sắc của cá chiên là gì?,Nâu
images/banh_canh/image_26.jpg,Bánh canh,Vị trí / Hành động,Cá chiên được bày ở đâu?,Phía trên
images/banh_canh/image_26.jpg,Bánh canh,Màu sắc,Màu sắc của hành lá là gì?,Xanh
images/banh_canh/image_26.jpg,Bánh canh,Màu sắc,Màu sắc của ớt là gì?,Đỏ
images/banh_canh/image_27.jpg,Bánh canh,Màu sắc,Màu của sợi bánh?,Trắng
images/banh_canh/image_27.jpg,Bánh canh,Màu sắc,Màu của nước?,Vàng
images/banh_canh/image_27.jpg,Bánh canh,Màu sắc,Màu của thịt?,Hồng
images/banh_canh/image_27.jpg,Bánh canh,Màu sắc,Màu của tôm?,Cam
images/banh_canh/image_27.jpg,Bánh canh,Màu sắc,Màu của hành?,Xanh
images/banh_canh/image_27.jpg,Bánh canh,Màu sắc,Màu của tiêu?,Đen
images/banh_canh/image_27.jpg,Bánh canh,Vị trí / Hành động,Thịt và tôm ở đâu?,Trên
images/banh_canh/image_27.jpg,Bánh canh,Vị trí / Hành động,Hành phi ở đâu?,Rắc
