Image_Path,Food_Name,Image_Description
images/banh_canh/image_18.jpg,Bánh canh,"Bốn bát sợi trắng tròn, thịt hồng, hành xanh, hành phi nâu, ớt đỏ rắc phía trên đặt sát nhau trên bàn gỗ."
images/banh_canh/image_19.jpg,Bánh canh,"Chân giò tròn hồng nhạt, cà rốt cam tỉa hoa, củ cải, nấm kim châm, sợi trắng, trên rắc ngò rí xanh và tiêu đen."
images/banh_canh/image_2.jpg,Bánh canh,"Tô trắng tròn đựng bánh canh sợi to, thịt nâu, ớt cam, hành xanh trong nước dùng, cạnh chén tương đỏ và dĩa chanh xanh."
images/banh_canh/image_21.jpg,Bánh canh,Bát bánh canh sợi trắng kèm chả nâu bên phải; đĩa chanh xanh bên trái; bát mắm ớt đỏ phía trên nền bàn hồng.
images/banh_canh/image_22.jpg,Bánh canh,"Bát trắng đựng nước dùng vàng, sợi bánh trắng tròn, hành xanh, chả cam. Đũa đen gắp miếng cá trắng dày ở phía trên."
images/banh_canh/image_23.jpg,Bánh canh,"Sợi bánh trắng đục, móng giò hồng nhạt đặt chính giữa tô sứ hoa, phía trên phủ hành ngò xanh tươi trong nước dùng."
images/banh_canh/image_24.jpg,Bánh canh,"Tô tròn có sợi trắng, nước trong; trứng cút trắng trên, thịt trái, tôm cam phải, chả cá giữa phủ hành ngò xanh, ớt đỏ."
images/banh_canh/image_25.jpg,Bánh canh,"Nước dùng đỏ cam bao quanh sợi bánh trắng tròn, phía trên phủ đầy hành lá và rau mùi xanh tươi rực rỡ trong bát."
images/banh_canh/image_26.jpg,Bánh canh,"Sợi trắng tròn trong nước dùng vàng nhạt. Phía trên bày cá chiên nâu, nấm rơm, hành lá xanh và ớt đỏ rắc tiêu."
images/banh_canh/image_27.jpg,Bánh canh,"Sợi tròn trắng dưới nước vàng, trên phủ lát thịt hồng, tôm cam, hành xanh cùng hành phi rắc tiêu đen."
images/banh_canh/image_28.jpg,Bánh canh,"Tô trắng tròn đựng sợi bánh trắng, nước vàng, giữa bát là con cua cam đỏ nguyên con rắc hành ngò xanh cùng tiêu đen."
images/banh_canh/image_29.jpg,Bánh canh,"Tô kim loại đựng bánh canh sợi trắng, chả cá, hành xanh. Bên phải là bánh mì vàng giòn trong bát trắng trên bàn xám."
images/banh_canh/image_3.jpg,Bánh canh,"Bát bánh canh tròn ở giữa có sợi trắng, thịt nâu, hành phi vàng, hành xanh. Bên trái là đĩa ớt đỏ và hai bát gia vị."
images/banh_canh/image_30.jpg,Bánh canh,"Sợi bánh trắng tròn cuộn bên phải, thịt nâu xám ở giữa, nước dùng trong, hành ngò xanh rắc trên, gan mỏng phía dưới."
images/banh_canh/image_31.jpg,Bánh canh,Sợi bánh trắng tròn xen lẫn thịt xám nhạt trong nước dùng vàng cam. Phía trên rắc hành phi nâu đỏ cùng hành lá xanh.
images/banh_canh/image_32.jpg,Bánh canh,"Tô trắng chứa nước dùng trong, sợi bánh trắng dày trên thìa, thịt gà vàng, nấm tròn, hành ngò xanh, tiêu đen rắc trên mặt."
images/banh_canh/image_33.jpg,Bánh canh,"Giò heo nâu bóng giữa tô, cạnh tôm hồng, huyết vuông sẫm, chả vàng, hành xanh nổi trên nước dùng cam cùng sợi bánh trắng."
images/banh_da_cua/image_4.jpg,Bánh đa cua,"Rau xanh góc trái, gạch cam, hành phi nâu giòn rắc quanh cùng thịt, chả lá lốt và hành lá trong bát nước dùng."
images/banh_da_cua/image_40.jpg,Bánh đa cua,"Bánh đa đỏ dẹt cuộn trên đũa, tôm cam, chả viên tròn, hành phi vàng giòn nổi trên mặt nước dùng nâu cùng rau xanh."
images/banh_da_cua/image_41.jpg,Bánh đa cua,"Bát bánh đa ở giữa có chả lá lốt đen, chả cá, tôm cam, rau xanh. Phía trái là quẩy vàng dài và quất xanh."
images/banh_da_cua/image_43.jpg,Bánh đa cua,"Bát bánh đa cua gồm tôm hồng, riêu nâu, chả lá lốt đen, rau xanh; bên trái đĩa rau sống, phía trên có nước chấm."
images/banh_da_cua/image_44.jpg,Bánh đa cua,"Bánh đa nâu nằm dưới, chả lá lốt đen giữa bát, mọc tròn bên trái, cà chua đỏ bên phải rắc thêm hành phi vàng."
images/banh_canh/image_34.jpg,Bánh canh,"Bát bánh canh nước dùng cam, sợi trắng, tôm đỏ, chả cá nâu trái, cá trắng trên, cà rốt cam phải cùng hành ngò xanh."
images/banh_canh/image_35.jpg,Bánh canh,"Sợi trắng, tôm cam, xương xám trong bát. Ớt đỏ, hành phi vàng rắc phía trên. Thìa trắng đặt cạnh bát sứ hoa văn xanh."
images/banh_canh/image_36.jpg,Bánh canh,"Bát sứ trắng đựng nước dùng đỏ cam, chính giữa có thịt cua trắng, hành tây sợi, xung quanh rắc hành phi nâu, rau xanh."
images/banh_canh/image_37.jpg,Bánh canh,"Tô bánh canh trắng chứa sợi bánh, sườn heo, hành ngò xanh, tiêu đen, đũa gỗ; cạnh là chén nước chấm trên bàn kim loại."
images/banh_canh/image_38.jpg,Bánh canh,"Bát bánh canh nước trong gồm sợi trắng, thịt gà xé, khối tiết tím sẫm và nhiều hành lá xanh rắc một góc."
images/banh_canh/image_39.jpg,Bánh canh,"Sườn heo nâu bên trái, cà rốt cam, củ cải trắng lát tròn, rau mùi xanh và lát chanh tươi trên cùng."
images/banh_canh/image_4.jpg,Bánh canh,"Hai tô tròn bánh canh sợi trắng, nước vàng, đĩa cá chiên vàng, rau xanh và chén mắm ớt đỏ trên bàn gỗ."
images/banh_canh/image_40.jpg,Bánh canh,"Tô bánh canh trắng chứa sợi bánh, hành xanh, ớt đỏ. Phía sau là đĩa chanh và chén nước mắm cam trên bàn trắng."
images/banh_canh/image_41.jpg,Bánh canh,"Bát bánh canh nước dùng cam có trứng cút trắng bên trái, chả tròn, thịt lớn, rau xanh phía trên và vụn cam rực rỡ."
images/banh_canh/image_5.jpg,Bánh canh,"Hai bát bánh canh sợi trắng, nước đục, phủ cá nâu, nấm tròn và hành lá xanh tươi đặt cạnh nhau trên bàn gỗ."
images/banh_canh/image_6.jpg,Bánh canh,"Tô tròn trắng đựng bánh canh, thịt hồng, giò, hành phi vàng, hành xanh; cạnh bên là rau sống, giá, chanh và nước mắm đỏ."
images/banh_canh/image_7.jpg,Bánh canh,"Tô tròn đựng bánh canh trắng, móng giò, thịt băm, hành phi. Cạnh đó là đĩa rau xanh và chén nước chấm màu nâu."
images/banh_canh/image_8.jpg,Bánh canh,"Bát trắng tròn chứa sợi bánh, thịt lợn, gan nâu, hành xanh, ớt đỏ. Bên phải là chén nước chấm cam đỏ."
images/banh_canh/image_9.jpg,Bánh canh,"Bát bánh canh nước cam vàng, sợi trắng tròn, chả cá nâu, hành tây trắng bào, hành lá xanh và ớt đỏ rực chính giữa."
images/banh_da_cua/image_25.jpg,Bánh đa cua,"Bát trắng đựng bánh đa đỏ dẹt, nước đỏ, chả lá lốt xanh, thịt nâu bên trái, cà chua đỏ phía dưới, hành lá giữa."
images/banh_da_cua/image_26.jpg,Bánh đa cua,"Bánh đa đỏ dẹt trên đũa, giữa bát có tôm cam, chả vàng, rau xanh, hành phi và ớt đỏ nổi trên nước dùng nâu."
images/banh_da_cua/image_27.jpg,Bánh đa cua,"Đũa gắp sợi bánh đa nâu dẹt, trong bát có tôm hồng, chả, rau xanh, hành phi và ớt đỏ nổi trên nước dùng."
images/banh_da_cua/image_28.jpg,Bánh đa cua,"Bát trắng đựng nước dùng nâu, tôm cam ở giữa rau xanh, chả vàng, riêu cua nâu sẫm cùng hành lá rắc trên mặt."
images/banh_da_cua/image_29.jpg,Bánh đa cua,"Bát bánh đa cua trắng giữa chứa tôm hồng, rau xanh, riêu đỏ, chả đen; bên trái đĩa rau sống và gia vị phía trên."
images/banh_da_cua/image_3.jpg,Bánh đa cua,"Bát sợi bánh đa đỏ gồm riêu cua nâu, chả lá lốt, cà chua, đậu vàng cạnh giỏ rau sống xanh và chén mắm tôm tím."
images/banh_da_cua/image_30.jpg,Bánh đa cua,"Bát trắng chứa bánh đa, mọc tròn, hành phi vàng; bên trái là quẩy vàng, phía sau có rổ rau xanh, cốc nước bên phải."
images/banh_da_cua/image_31.jpg,Bánh đa cua,"Bát bánh đa cua gồm bề bề nâu dài, chả cá vàng dẹt, mọc trắng xen hành ngò xanh nổi trên nước dùng trong trẻo."
images/banh_da_cua/image_32.jpg,Bánh đa cua,"Sợi bánh đa đỏ bản to, màu nâu cánh gián, dẹt, hơi trong xếp chồng lộn xộn chính giữa lòng chiếc đĩa sứ tròn trắng."
images/banh_da_cua/image_33.jpg,Bánh đa cua,"Nem vuông vàng giòn trên xà lách xanh, vây quanh bát nước chấm cam có rau mùi tươi ở trung tâm đĩa trắng."
images/banh_da_cua/image_34.jpg,Bánh đa cua,"Bát nước chấm trắng ở giữa, các miếng nem vuông vàng giòn bày quanh trên xà lách xanh tươi, đặt trên đĩa sứ trắng."
images/banh_da_cua/image_35.jpg,Bánh đa cua,"Đũa gắp bánh đa, rau muống xanh, mộc nhĩ và bì lợn vàng từ bát nước dùng nâu đậm đà giữa bàn ăn đầy đặn."
images/banh_da_cua/image_36.jpg,Bánh đa cua,"Bánh đỏ cuộn trên, tôm cam dưới, chả lá lốt xanh, chả cá vàng trái, gạch cua đỏ tươi, riêu cua nâu, hành phi giòn."
images/banh_da_cua/image_37.jpg,Bánh đa cua,"Bát bánh đa đỏ sợi dẹt, rau xanh bên phải, hành vàng, riêu nâu, ớt đỏ bên trái, kèm chanh xanh trên đĩa phía sau."
images/banh_da_cua/image_38.jpg,Bánh đa cua,"Đũa đen gắp bánh đa nâu phẳng; trong bát trắng có đậu vàng, cà chua đỏ, chả xám, hành xanh nổi trên nước dùng nâu."
images/banh_da_cua/image_39.jpg,Bánh đa cua,"Đũa gắp sợi bánh đa nâu dẹt ở giữa, bao quanh là rau xanh, tôm cam, hành phi vàng và lát ớt đỏ rực rỡ."
images/banh_da_cua/image_45.jpg,Bánh đa cua,"Bát bánh đa cua ở giữa có tôm, chả lá lốt đen, rau xanh. Cạnh là quẩy vàng, quất xanh và nước chấm phía trên."
images/banh_da_cua/image_46.jpg,Bánh đa cua,"Bát dưới gồm tôm cam cuộn, bề bề dài, chả lá lốt xanh, mộc nhĩ đen, hành lá tươi xếp kín mặt nước dùng nâu."
images/banh_da_cua/image_47.jpg,Bánh đa cua,"Sợi đỏ, đậu vàng bên trái; tôm cam cong, rau xanh, cà chua đỏ trên; riêu nâu, chả lá lốt dài, sườn trắng phía dưới."
images/banh_da_cua/image_5.jpg,Bánh đa cua,"Bát sứ trắng xanh chứa bánh đa đỏ nâu, chả lá lốt xanh, chả vàng tròn, hành phi giữa và rau xanh tươi bắt mắt."
images/banh_da_cua/image_6.jpg,Bánh đa cua,"Sợi bánh đa đỏ, rau muống xanh, mộc nhĩ đen, gạch cua vàng béo ngậy được đũa gắp lên từ bát nước dùng nâu đậm."
images/banh_da_cua/image_7.jpg,Bánh đa cua,"Bát bánh đa đỏ có chả cá dẹt, chả lá lốt đen, mọc tròn, tôm cam; cạnh quẩy vàng dài và quất xanh nhỏ."
images/banh_da_cua/image_8.jpg,Bánh đa cua,"Sợi bánh đa phẳng nâu đỏ được gắp giữa bát nước dùng, kèm tôm cam, chả vàng, rau xanh, cạnh đĩa quẩy vàng giòn."
images/bun_bo_hue/image_24.jpg,Bún bò Huế,"Bún trắng tròn trong nước dùng đỏ cam, điểm xuyết thịt nâu, hành xanh, giá trắng, kèm lát chanh vàng và đĩa trắng phía sau."
images/bun_bo_hue/image_25.jpg,Bún bò Huế,"Bát bún bò trung tâm đầy thịt, chả, tiết, nước vàng, cạnh đĩa giá trắng, rau xanh, hoa chuối nâu và các hũ gia vị đỏ rực."
images/bun_bo_hue/image_26.jpg,Bún bò Huế,"Bát bún nước đỏ cam gồm lát bò to, thịt heo, bún trắng, rau thơm, hoa chuối, ớt xanh cùng đôi đũa gỗ bên trái."
images/bun_bo_hue/image_27.jpg,Bún bò Huế,"Nước dùng đỏ cam, huyết nâu khối lớn bên dưới, thịt mỏng ở giữa, hoa chuối thái sợi góc trái và lá quế xanh trên."
images/banh_da_cua/image_42.jpg,Bánh đa cua,"Nước dùng cam đỏ, rau xanh, giá đỗ, riêu cua, hành phi vàng giòn, chả, và topping trắng nổi bật trong bát."
images/banh_da_cua/image_9.jpg,Bánh đa cua,"Bát bánh đa cua đầy ắp sợi bánh đỏ, thịt cua trắng, hành lá xanh, ớt đỏ và bột gia vị nổi bật trên nước dùng màu cam."
images/bun_bo_hue/image_28.jpg,Bún bò Huế,"Bún trắng to, thịt bò nâu đỏ thái lát, chả cam, hành xanh trong nước dùng vàng cam được gắp lên từ tô trắng."
images/bun_bo_hue/image_29.jpg,Bún bò Huế,"Bát bún bò Huế nổi bật nước dùng đỏ cam, thịt chân giò, tiết, bún trắng, hành tây và rau thơm xanh tươi."
images/bun_bo_hue/image_3.jpg,Bún bò Huế,"Bún bò Huế nước đỏ tươi, sợi bún trắng, thịt bò nâu, lòng/gân vàng nhạt, rau mùi xanh và ớt khô đen rải đều."
images/bun_bo_hue/image_30.jpg,Bún bò Huế,"Món bún sợi trắng, nước dùng đỏ, nổi bật đậu hũ vàng, rau xanh, ớt đỏ, chả cá trắng hồng và viên tròn màu cam cùng lá bạc hà."
images/bun_bo_hue/image_31.jpg,Bún bò Huế,"Bún bò Huế nước dùng đỏ cam, sợi bún trắng, chả tròn, tiết khối sẫm, giò/gân, hành tây cắt lát, rau thơm trộn đều trong bát."
images/bun_bo_hue/image_32.jpg,Bún bò Huế,"Bát bún sợi trắng to, thịt bò nâu, huyết sẫm, hành ngò xanh nổi trên nước dùng đỏ cam, phía sau có rau sống tươi."
images/bun_bo_hue/image_33.jpg,Bún bò Huế,"Tô bún nước cam đỏ, thịt bò nâu, chả vàng, giá trắng, rau xanh phủ mặt, kèm chén ớt đỏ và lát chanh bên ngoài."
images/bun_bo_hue/image_34.jpg,Bún bò Huế,"Bún bò Huế có sợi bún trắng, thịt bò đỏ nâu, chân giò, huyết vuông sẫm, chả viên, rau xanh cùng nước dùng cam đỏ đầy ắp."
images/bun_bo_hue/image_35.jpg,Bún bò Huế,"Bát bún bò Huế nóng hổi với nước dùng nâu đỏ, nhiều thịt bò, tiết, giò heo, chả, bún trắng cùng hành lá xanh tươi nổi trên mặt."
images/bun_bo_hue/image_36.jpg,Bún bò Huế,"Bát bún bò Huế: nước dùng vàng, bún trắng, thịt bò lát, chân giò, hành lá, rau sống, hành phi; kèm chén tương ớt."
images/bun_bo_hue/image_37.jpg,Bún bò Huế,"Tô bún bò Huế đỏ cam, có thịt nâu, gân trắng, rau thơm xanh, giá trắng, ớt đủ màu, chanh vàng, hũ sa tế nâu đậm."
images/bun_bo_hue/image_38.jpg,Bún bò Huế,"Bún bò Huế rực rỡ: nước dùng đỏ cam, thịt bò nâu, chả viên vàng, huyết khối sẫm, rau xanh tươi, chanh lát và sợi bún trắng."
images/bun_bo_hue/image_39.jpg,Bún bò Huế,"Bát bún bò Huế đầy ắp thịt bò, móng giò, huyết, chả, hành tây, giá và rau thơm trên nền nước dùng nâu đỏ."
images/bun_bo_hue/image_4.jpg,Bún bò Huế,"Bát đen viền đỏ chứa bún trắng, thịt nâu xám, nước dùng váng cam đỏ. Trên phủ hành lá xanh và hành tây trắng."
images/bun_bo_hue/image_40.jpg,Bún bò Huế,"Bún bò Huế nước dùng nâu đỏ, thịt bò lát, cà chua đỏ trung tâm, hành tây trắng, hành lá xanh nổi trên, bún sợi to."
images/bun_bo_hue/image_41.jpg,Bún bò Huế,"Đôi đũa gắp miếng thịt bò nâu sẫm, sợi bún trắng tròn cuộn và bún sợi vàng từ bát bún bò Huế đầy ắp các nguyên liệu."
images/bun_bo_hue/image_42.jpg,Bún bò Huế,"Bún bò Huế nước dùng nâu đỏ, sợi bún trắng, thịt bò, móng giò, huyết, hành. Đĩa rau sống xanh trắng đặt bên."
images/bun_bo_hue/image_43.jpg,Bún bò Huế,"Bún bò Huế: nước dùng đỏ cam, thịt bò thái lát, bún sợi to, cùng rau thơm xanh và hành tây trắng trên mặt."
images/bun_bo_hue/image_44.jpg,Bún bò Huế,"Món bún bò Huế có nước dùng trong, sợi bún trắng, thịt heo và chả vàng, phủ rau thơm xanh mướt trong tô hoa văn."
images/bun_bo_hue/image_45.jpg,Bún bò Huế,"Bún trắng cuộn trung tâm, nước dùng đỏ cam, thịt bò nâu xám thái lát bên phải, chả trắng lát mỏng bên trái, giá đỗ vàng nhạt, hành lá xanh tươi rắc đều."
images/bun_bo_hue/image_46.jpg,Bún bò Huế,"Tô bún bò Huế đầy sợi trắng, thịt bò, giá đỗ, rau xanh trong nước dùng trong. Có đũa xanh, muỗng đen, chén ớt, chanh."
images/bun_bo_hue/image_5.jpg,Bún bò Huế,"Tô bún bò Huế đầy nước dùng đỏ đậm, bún sợi to, thịt bò lát, hành lá, rau mùi xanh. Đĩa rau sống có giá, chanh, ớt."
images/bun_bo_hue/image_6.jpg,Bún bò Huế,"Trong tô đen, bún bò Huế có nước dùng đỏ cam, thịt bò thái lát, chả trắng, giá đỗ, sợi bún trắng và hành lá xanh phủ trên."
images/bun_bo_hue/image_7.jpg,Bún bò Huế,"Nước dùng cam đỏ, thịt bò thớ nâu, bún trắng, rau xanh, chanh lát, tương ớt nổi bật trong bát bún bò Huế."
images/bun_bo_hue/image_8.jpg,Bún bò Huế,"Sợi bún trắng ẩn dưới thịt, tai heo, tiết, hành lá xanh tươi và nước dùng cam đỏ trong tô bún bò Huế."
images/bun_bo_hue/image_9.jpg,Bún bò Huế,"Thìa múc bún sợi tròn trắng, thịt bò lát nâu, hành lá xanh, nước dùng cam đỏ sánh, trong tô có đũa đen."
images/bun_cha/image_1.jpg,Bún chả,"Nem rán vàng giòn cắt khoanh xếp trên bún trắng, kèm cà rốt sợi cam, đậu phộng rang và bát nước chấm ớt đỏ phía trên."
images/bun_cha/image_10.jpg,Bún chả,"Trên mẹt, chả nướng nâu, bún trắng, rau xanh; nước chấm trung tâm, nem rán, chả viên vàng hai bên."
images/bun_cha/image_11.jpg,Bún chả,"Chả nướng nâu, ớt đỏ trong bát nước chấm vàng nhạt. Ba nem rán vàng giòn trên đĩa, bún trắng, rau xanh ở sau."
images/bun_cha/image_12.jpg,Bún chả,"Bún trắng, rau xanh, chả nâu vụn, hai bát nước chấm nâu/đỏ, bát canh rau củ cam/trắng, tất cả trên bàn đỏ."
images/bun_cha/image_13.jpg,Bún chả,"Bún trắng giữa, nem rán vàng trái, chả nâu trong nước chấm phải, rau xanh trên, cùng ớt đỏ, tỏi phi vàng."
images/bun_cha/image_14.jpg,Bún chả,"Năm bát chả thịt nướng nâu vàng, miếng và băm, ngập nước chấm vàng nhạt. Rổ rau xanh tươi đặt cạnh."
images/bun_cha/image_15.jpg,Bún chả,"Chả miếng nướng vàng sậm được gắp khỏi bát nước chấm nâu có chả băm, ớt đỏ; phía sau là nem rán vàng, bún trắng."
images/bun_cha/image_16.jpg,Bún chả,"Bát bún nước dùng đỏ cam, sợi trắng, thịt, rau xanh, hành phi nâu giòn trên cùng, kèm đĩa ớt xanh và tóp mỡ."
