Image_Path,Food_Name,Question_Group,Question,Answer
images/banh_canh/image_18.jpg,Bánh canh,Nguyên liệu,Thành phần chính của bánh canh là gì?,"Bột gạo, Nước dùng xương, Rau thơm, Gia vị"
images/banh_canh/image_18.jpg,Bánh canh,Nguồn gốc,Bánh canh phổ biến ở vùng miền nào?,Miền Trung
images/banh_canh/image_18.jpg,Bánh canh,Cách nấu,"Bạn biết không, bánh canh được làm như thế nào?","Chuẩn bị nguyên liệu, nấu nước dùng xương, trộn bột gạo với nước, nấu bánh canh trong nước dùng"
images/banh_canh/image_18.jpg,Bánh canh,Cách ăn,Bánh canh thường được ăn kèm với gì?,Nước chấm và rau thơm
images/banh_canh/image_19.jpg,Bánh canh,Nguyên liệu,Bánh canh được làm từ những nguyên liệu gì?,"Bột gạo, nước dùng xương, rau thơm, gia vị"
images/banh_canh/image_19.jpg,Bánh canh,Nguồn gốc,Bánh canh phổ biến ở vùng miền nào?,"Miền Trung, đặc biệt là Đà Nẵng và Quảng Nam"
images/banh_canh/image_19.jpg,Bánh canh,Cách nấu,Cách nấu bánh canh như thế nào?,"Chuẩn bị nguyên liệu, nấu nước dùng xương, trộn bột gạo với nước, nấu bánh canh trong nước dùng"
images/banh_canh/image_19.jpg,Bánh canh,Cách ăn,Bánh canh thường được ăn như thế nào?,"Bánh canh được ăn nóng, kèm với nước chấm và rau thơm"
images/banh_canh/image_2.jpg,Bánh canh,Nguyên liệu,Bánh canh được làm từ thành phần nào?,"Bột gạo, Nước dùng xương, Rau thơm, Gia vị"
images/banh_canh/image_2.jpg,Bánh canh,Nguồn gốc,Bánh canh phổ biến ở vùng miền nào?,"Miền Trung, đặc biệt là Đà Nẵng và Quảng Nam"
images/banh_canh/image_2.jpg,Bánh canh,Cách nấu,"Bạn biết không, cách nấu bánh canh như sau: Chuẩn bị nguyên liệu, nấu nước dùng xương, trộn bột gạo với nước để tạo sợi bánh, nấu bánh canh trong nước dùng.","Chuẩn bị nguyên liệu, nấu nước dùng xương, trộn bột gạo với nước để tạo sợi bánh, nấu bánh canh trong nước dùng."
images/banh_canh/image_2.jpg,Bánh canh,Cách ăn,Bánh canh thường được ăn như thế nào?,"Bánh canh thường được ăn nóng, kèm với nước chấm và rau thơm."
images/banh_canh/image_21.jpg,Bánh canh,Nguyên liệu,Thành phần chính của bánh canh là gì?,"Bột gạo, nước dùng xương, rau thơm và gia vị"
images/banh_canh/image_21.jpg,Bánh canh,Nguồn gốc,Bánh canh phổ biến ở đâu?,"Miền Trung, đặc biệt là Đà Nẵng và Quảng Nam"
images/banh_canh/image_21.jpg,Bánh canh,Cách nấu,"Bạn biết không, để nấu bánh canh, bạn cần thực hiện các bước sau:","Chuẩn bị nguyên liệu, nấu nước dùng xương, trộn bột gạo với nước, nấu bánh canh trong nước dùng"
images/banh_canh/image_21.jpg,Bánh canh,Cách ăn,Bánh canh thường được ăn như thế nào?,"Bánh canh thường được ăn nóng, kèm với nước chấm và rau thơm"
images/banh_canh/image_22.jpg,Bánh canh,Nguyên liệu,Bánh canh được làm từ những nguyên liệu chính sau đây?,"Bột gạo, Nước dùng xương, Rau thơm, Gia vị"
images/banh_canh/image_22.jpg,Bánh canh,Nguồn gốc,Bánh canh phổ biến ở vùng miền nào?,"miền Trung, đặc biệt là Đà Nẵng và Quảng Nam"
